decision_timestamp,entry_timestamp,exit_timestamp,side,rrms_tier,quantity,entry_price,stop_price,target_price,exit_price,exit_reason,gross_pnl,costs,net_pnl,result_r,equity_after
2021-05-24T16:45:00Z,2021-05-24T16:45:00Z,2021-05-25T13:30:00Z,long,0,1626,25.732573,25.640347331322307,25.82479866867769,25.637783296589173,stop,-154.1280577460017,16.26,-170.3880577460017,-1.1362314300701009,99829.61194225399
2021-05-25T14:30:00Z,2021-05-25T14:30:00Z,2021-05-26T13:45:00Z,short,1,2482,25.917408000000002,26.058136183467912,25.77667981653209,25.779257484513746,target,342.8895794368871,24.82,318.0695794368871,0.9106243847415076,100147.68152169087
2021-07-06T14:45:00Z,2021-07-06T14:45:00Z,2021-07-06T15:00:00Z,long,0,969,24.462446,24.30755055259136,24.61734144740864,24.3051197975361,stop,-152.4490901875184,9.69,-162.1390901875184,-1.0802525526942266,99985.54243150336
2021-09-30T16:00:00Z,2021-09-30T16:00:00Z,2021-09-30T17:45:00Z,short,1,2675,20.427957,20.55874732237401,20.297166677625988,20.560803197106246,stop,-355.3635772592099,26.75,-382.1135772592099,-1.0921771161153666,99603.42885424415
2021-10-06T15:00:00Z,2021-10-06T15:00:00Z,2021-10-06T18:00:00Z,long,2,5875,20.812081,20.69340932235613,20.93075267764387,20.928659602376104,target,684.8992889596173,58.75,626.1492889596173,0.8980963654693029,100229.57814320376
2022-03-07T17:15:00Z,2022-03-07T17:15:00Z,2022-03-07T19:15:00Z,long,0,940,23.532353,23.37248021983749,23.69222578016251,23.689856557584495,target,148.05334412942466,9.4,138.65334412942465,0.9226308408132933,100368.23148733319
2022-04-11T15:30:00Z,2022-04-11T15:30:00Z,2022-04-11T16:45:00Z,long,0,1664,23.072307,22.98187035646521,23.16274364353479,22.979572169429563,stop,-154.3107580692049,16.64,-170.95075806920488,-1.1359867699083093,100197.28072926399
2022-04-21T16:00:00Z,2022-04-21T16:00:00Z,2022-04-21T16:45:00Z,long,1,3859,22.642264,22.551401011967627,22.733126988032375,22.54914587186643,stop,-359.34285646745354,38.59,-397.9328564674536,-1.134874940463456,99799.34787279654
2022-06-15T18:15:00Z,2022-06-15T18:15:00Z,2022-06-15T18:30:00Z,short,2,4105,19.788021,19.95818015691613,19.617861843083872,19.96017597493182,stop,-706.6961720951123,41.050000000000004,-747.7461720951122,-1.0704976342918915,99051.60170070143
2022-09-22T17:30:00Z,2022-09-22T17:30:00Z,2022-09-23T13:30:00Z,long,3,16519,18.061805999999997,17.971867708006496,18.1517442919935,17.970070521235694,stop,-1515.3783737075175,165.19,-1680.5683737075176,-1.1311697888553824,97371.03332699391
2022-09-27T18:45:00Z,2022-09-27T18:45:00Z,2022-09-28T13:45:00Z,long,4,12157,17.0017,16.88156559423579,17.121834405764208,17.12012222232363,target,1439.658956788375,121.57000000000001,1318.088956788375,0.9025076674240544,98689.12228378229
2022-10-20T16:30:00Z,2022-10-20T16:30:00Z,2022-10-20T17:45:00Z,short,0,1242,17.328266999999997,17.44738909469264,17.209144905307355,17.210865819797885,target,145.81226581102308,12.42,133.3922658110231,0.9016058731944536,98822.51454959331
2022-11-28T17:45:00Z,2022-11-28T17:45:00Z,2022-11-28T18:00:00Z,long,0,1356,19.40194,19.29268628305317,19.51119371694683,19.290757014424862,stop,-150.7641284398863,13.56,-164.3241284398863,-1.1091886753300235,98658.19042115343
2022-12-15T18:15:00Z,2022-12-15T18:15:00Z,2022-12-16T14:30:00Z,short,1,2596,21.267873,21.400868582442012,21.13487741755799,21.136990905299747,target,339.7699178418606,25.96,313.8099178418606,0.9089181195395141,98972.00033899529
2023-02-02T17:00:00Z,2023-02-02T17:00:00Z,2023-02-03T14:30:00Z,long,0,974,21.662166,21.50988416517613,21.81444783482387,21.50773317675961,stop,-150.4175698361377,9.74,-160.1575698361377,-1.0797927634019566,98811.84276915915
2023-03-21T16:15:00Z,2023-03-21T16:15:00Z,2023-03-21T16:30:00Z,long,1,3451,20.462046,20.361836845350496,20.562255154649506,20.35980066166596,stop,-352.8486625907714,34.51,-387.3586625907714,-1.1201106198992774,98424.48410656837
2023-05-04T15:30:00Z,2023-05-04T15:30:00Z,2023-05-04T17:00:00Z,short,2,4852,23.757624000000003,23.89961913203247,23.615628867967537,23.902009093945672,stop,-700.556475824385,48.52,-749.0764758243849,-1.087256244181452,97675.40763074398
2023-05-15T17:15:00Z,2023-05-15T17:15:00Z,2023-05-16T13:30:00Z,short,3,13415,22.137786000000002,22.247001395451722,22.028570604548282,22.030773461608735,target,1435.573202518844,134.15,1301.423202518844,0.8882679771475284,98976.83083326282
2023-06-07T17:30:00Z,2023-06-07T17:30:00Z,2023-06-08T13:30:00Z,long,0,2143,21.522152,21.45288671282947,21.591417287170525,21.589258145441807,target,143.80846968179605,21.43,122.37846968179605,0.8244554779830299,99099.20930294461
2023-08-15T16:30:00Z,2023-08-15T16:30:00Z,2023-08-16T13:30:00Z,short,0,1376,20.69793,20.80592624368392,20.58993375631608,20.808006836308287,stop,-151.465726760204,13.76,-165.225726760204,-1.111861229726876,98933.9835761844
