decision_timestamp,entry_timestamp,side,entry_reference,jaw,stop_reference,zone_id,zone_side,zone_lower,zone_upper,zone_status,qualified_score,current_score,trigger_timestamp,trigger_open,trigger_high,trigger_low,trigger_close,one_hour_atr,one_hour_atr_timestamp,stop_buffer,long_zone_penetration_fraction,reward_to_risk,risk_zone_ratio,one_hour_reference_open,one_hour_reference_close
2021-03-19T18:15:00Z,2021-03-19T18:15:00Z,short,227.34,229.1034956504204,229.1034956504204,164,supply,227.89,229.0,verified,2,4,2021-03-19T18:00:00Z,227.77,227.97,226.79,227.33,2.0699130084079123,2021-03-19T18:00:00Z,0.10349565042039562,,1.0,1.5977438292075357,228.31,227.76
2021-05-03T14:30:00Z,2021-05-03T14:30:00Z,short,225.7,226.81956466474387,226.81956466474387,203,supply,226.35411017466097,226.75,verified,2,3,2021-05-03T14:15:00Z,226.14,226.49,225.43,225.69,1.39129329487757,2021-05-03T14:30:00Z,0.0695646647438785,,1.0,2.853229844380437,227.21,226.4
2021-05-07T16:45:00Z,2021-05-07T16:45:00Z,short,225.15,226.08373448526643,226.08373448526643,220,supply,225.4,226.0,verified,2,3,2021-05-07T16:30:00Z,225.37,225.41,225.05,225.15,1.6746897053284766,2021-05-07T16:00:00Z,0.08373448526642384,,1.0,1.556224142110727,225.69,224.64
2021-05-28T13:45:00Z,2021-05-28T13:45:00Z,short,226.27,227.63164006918583,227.63164006918583,233,supply,227.1,227.58,active,4,4,2021-05-28T13:30:00Z,227.08,227.18,226.14,226.27,1.0328013837163152,2021-05-27T20:00:00Z,0.05164006918581576,,1.0,2.836750144137027,226.21,225.68
2021-06-04T14:45:00Z,2021-06-04T14:45:00Z,short,226.61,227.2442165906099,227.2442165906099,260,supply,226.82,227.18,verified,3,3,2021-06-04T14:30:00Z,226.82,227.06,226.57,226.63,1.2843318121978844,2021-06-04T14:30:00Z,0.06421659060989422,,1.0,1.7061571961385846,227.49,227.09
2021-08-09T15:15:00Z,2021-08-09T15:15:00Z,long,222.72,221.73723740267187,221.73723740267187,293,demand,221.8,222.51578225521666,verified,3,3,2021-08-09T15:00:00Z,222.55,222.83,222.36,222.73,1.2552519465627139,2021-08-09T15:00:00Z,0.0627625973281357,0.21763916900887395,1.0,1.3869617332545294,222.28,222.54
2021-09-08T18:00:00Z,2021-09-08T18:00:00Z,short,223.82,224.60327701945914,224.60327701945914,313,supply,224.0,224.55,verified,2,3,2021-09-08T17:45:00Z,224.0,224.04,223.7,223.81,1.0655403891827748,2021-09-08T18:00:00Z,0.05327701945913874,,1.0,1.4423218535620426,224.16,223.81
2021-09-20T14:00:00Z,2021-09-20T14:00:00Z,long,218.31,217.42836314644975,217.42836314644975,330,demand,217.49,218.04,verified,3,3,2021-09-20T13:45:00Z,218.08,218.99,218.03,218.31,1.232737071005266,2021-09-17T20:00:00Z,0.061636853550263306,0.018181818181802208,1.0,1.6029760973641365,221.28,222.2
2021-10-08T18:45:00Z,2021-10-08T18:45:00Z,short,222.49,223.28112426438136,223.28112426438136,351,supply,222.63,223.21604721405052,verified,3,3,2021-10-08T18:30:00Z,222.62,222.71,222.3,222.48,1.3015410066166715,2021-10-08T18:00:00Z,0.06507705033083358,,1.0,1.3669961142624012,222.34,222.11
2022-02-14T16:45:00Z,2022-02-14T16:45:00Z,short,202.12,203.47622430682875,203.47622430682875,484,supply,202.75017488345634,203.37,verified,2,3,2022-02-14T16:30:00Z,202.66,202.84,201.99,202.11,2.124486136575187,2022-02-14T16:00:00Z,0.10622430682875934,,1.0,2.204209333186149,202.36,201.16
2022-02-18T15:45:00Z,2022-02-18T15:45:00Z,long,201.14,199.610466251556,199.610466251556,492,demand,199.69,200.71,touched,4,4,2022-02-18T15:30:00Z,201.15,201.2,200.66,201.16,1.5906749688799084,2022-02-18T15:30:00Z,0.07953374844399543,0.04901960784314791,1.0,1.5191507337686039,201.01,202.42
2022-03-16T17:15:00Z,2022-03-16T17:15:00Z,short,199.28,201.08543532277525,201.08543532277525,509,supply,200.25,201.0,touched,3,3,2022-03-16T17:00:00Z,200.11,200.25,199.23,199.27,1.7087064555049492,2022-03-16T17:00:00Z,0.08543532277524746,,1.0,2.4205804303669916,200.14,200.08
2022-04-18T17:15:00Z,2022-04-18T17:15:00Z,long,197.84,196.494613433748,196.494613433748,514,demand,196.56,197.25,verified,3,3,2022-04-18T17:00:00Z,197.3,197.98,197.22,197.85,1.3077313250406013,2022-04-18T17:00:00Z,0.06538656625203007,0.043478260869567006,1.0,1.9643283568869747,197.24,197.31
2022-05-03T19:30:00Z,2022-05-03T19:30:00Z,short,188.79,189.75945872811738,189.75945872811738,552,supply,189.15,189.66,verified,3,3,2022-05-03T19:15:00Z,189.15,189.24,188.24,188.79,1.989174562347802,2022-05-03T19:00:00Z,0.09945872811739011,,1.0,1.9008994668968733,189.15,189.03
2022-05-23T19:15:00Z,2022-05-23T19:15:00Z,short,178.13,179.50590866144762,179.50590866144762,571,supply,178.5,179.41,touched,3,3,2022-05-23T19:00:00Z,178.3,178.78,177.98,178.13,1.91817322895238,2022-05-23T19:00:00Z,0.095908661447619,,1.0,1.5119875400523404,178.3,178.3
2022-06-30T19:15:00Z,2022-06-30T19:15:00Z,short,168.58,170.16375271038447,170.16375271038447,593,supply,169.29,170.08,verified,3,4,2022-06-30T19:00:00Z,169.23,169.38,168.46,168.62,1.6750542076889765,2022-06-30T19:00:00Z,0.08375271038444883,,1.0,1.9541173549169966,170.45,169.22
2022-07-15T13:45:00Z,2022-07-15T13:45:00Z,short,170.71,172.54216656548374,172.54216656548374,595,supply,171.82,172.47,verified,3,4,2022-07-15T13:30:00Z,171.52,172.36,170.49,170.69,1.443331309674651,2022-07-14T20:00:00Z,0.07216656548373256,,1.0,2.8494870238211165,169.64,169.63
2022-09-08T19:45:00Z,2022-09-08T19:45:00Z,short,183.21,184.24868866433755,184.24868866433755,669,supply,183.53,184.18,rejected,4,4,2022-09-08T19:30:00Z,183.5,183.64,183.11,183.22,1.3737732867510508,2022-09-08T19:00:00Z,0.06868866433755254,,1.0,1.58259794513468,183.16,183.03
2022-10-21T13:45:00Z,2022-10-21T13:45:00Z,short,169.2,170.19114683733645,170.19114683733645,701,supply,169.33,170.11,verified,3,3,2022-10-21T13:30:00Z,169.38,169.86,168.19,169.21,1.622936746728842,2022-10-20T20:00:00Z,0.08114683733644211,,1.0,1.2578805606877406,169.02,169.02
2022-11-16T16:45:00Z,2022-11-16T16:45:00Z,short,184.46,185.31004412079076,185.31004412079076,730,supply,184.8,185.22,verified,3,3,2022-11-16T16:30:00Z,184.73,184.9,184.29,184.47,1.800882415815544,2022-11-16T16:00:00Z,0.09004412079077721,,1.0,2.0001050495018804,184.63,184.08
2022-12-06T16:15:00Z,2022-12-06T16:15:00Z,short,181.12,182.06296612378267,182.06296612378267,718,supply,181.43,182.0,verified,3,3,2022-12-06T16:00:00Z,181.17,181.5,181.03,181.12,1.2593224756533057,2022-12-06T16:00:00Z,0.06296612378266529,,1.0,1.6543265329520687,181.92,181.15
2022-12-08T14:45:00Z,2022-12-08T14:45:00Z,short,179.73,181.6352104323394,181.6352104323394,722,supply,181.02,181.57754630262596,active,5,5,2022-12-08T14:30:00Z,180.7,181.21,179.69,179.75,1.1532825942685372,2022-12-07T21:00:00Z,0.05766412971342686,,1.0,3.381262548886722,179.85,179.54
2022-12-27T20:15:00Z,2022-12-27T20:15:00Z,long,173.19,172.6164229983269,172.6164229983269,754,demand,172.67,173.06,touched,3,3,2022-12-27T20:00:00Z,173.1,173.25,173.03,173.19,1.0715400334617566,2022-12-27T20:00:00Z,0.053577001673087835,0.07692307692307693,1.0,1.4707102607002032,173.08,173.08
2023-02-21T18:00:00Z,2023-02-21T18:00:00Z,long,188.4,187.50539922780786,187.50539922780786,780,demand,187.57,188.12,touched,2,4,2023-02-21T17:45:00Z,188.15,188.43,188.06,188.42,1.2920154438426779,2023-02-21T18:00:00Z,0.06460077219213389,0.10909090909091097,1.0,1.6629104948947488,188.12,188.42
2023-03-07T20:30:00Z,2023-03-07T20:30:00Z,short,186.56,187.06919366535575,187.06919366535575,789,supply,186.7,187.02,verified,2,4,2023-03-07T20:15:00Z,186.57,186.81,186.48,186.55,0.9838733071151051,2023-03-07T20:00:00Z,0.049193665355755256,,1.0,1.6224802042365887,186.4,186.3
2023-04-28T18:30:00Z,2023-04-28T18:30:00Z,short,175.05,175.8885538666195,175.8885538666195,852,supply,175.34,175.84,rejected,2,3,2023-04-28T18:15:00Z,175.25,175.39,174.92,175.05,0.9710773323898121,2023-04-28T18:00:00Z,0.048553866619490606,,1.0,1.6771077332389837,175.78,175.28
2023-05-08T13:45:00Z,2023-05-08T13:45:00Z,short,174.59,175.76206115553086,175.76206115553086,849,supply,175.02,175.7,rejected,4,4,2023-05-08T13:30:00Z,175.26,175.55,174.54,174.6,1.2412231106173899,2023-05-05T20:00:00Z,0.062061155530869494,,1.0,1.708913464016031,174.79,174.5
2023-05-18T17:15:00Z,2023-05-18T17:15:00Z,short,175.8,176.22879250074485,176.22879250074485,860,supply,175.86,176.18,verified,3,4,2023-05-18T17:00:00Z,175.83,176.1,175.77,175.81,0.9758500148966619,2023-05-18T17:00:00Z,0.0487925007448331,,1.0,1.3087265648276616,176.64,175.83
2023-11-13T18:15:00Z,2023-11-13T18:15:00Z,short,169.18,169.7584207819423,169.7584207819423,1055,supply,169.3,169.71,active,3,3,2023-11-13T18:00:00Z,169.25,169.33,169.05,169.19,0.9684156388460426,2023-11-13T18:00:00Z,0.048420781942302135,,1.0,1.3863921510788113,169.48,169.25
2024-01-03T16:45:00Z,2024-01-03T16:45:00Z,long,196.79,195.88233429323535,195.88233429323535,1096,demand,195.95,196.345856054706,touched,2,2,2024-01-03T16:30:00Z,196.72,196.88,196.32,196.79,1.3533141352927014,2024-01-03T16:00:00Z,0.06766570676463507,0.0653168099833668,1.0,2.2929185899120847,196.23,196.42
2024-02-23T15:15:00Z,2024-02-23T15:15:00Z,long,198.99,198.18040190048833,198.18040190048833,1131,demand,198.24,198.59,verified,2,3,2024-02-23T15:00:00Z,198.96,199.07,198.56,199.01,1.191961990233556,2024-02-22T21:00:00Z,0.059598099511677806,0.08571428571429035,1.0,2.3702802843190574,199.16,199.51
2024-03-13T19:15:00Z,2024-03-13T19:15:00Z,short,205.8,206.38061128470017,206.38061128470017,1166,supply,205.86,206.33,rejected,4,4,2024-03-13T19:00:00Z,205.81,205.88,205.66,205.8,1.0122256940031973,2024-03-13T19:00:00Z,0.05061128470015987,,1.0,1.2353431589365016,206.19,205.82
2024-03-20T15:15:00Z,2024-03-20T15:15:00Z,long,202.59,201.81889329842022,201.81889329842022,1163,demand,201.87,202.44,verified,2,4,2024-03-20T15:00:00Z,202.51,202.59,202.32,202.58,1.0221340315955745,2024-03-20T15:00:00Z,0.05110670157977873,0.2105263157894842,1.0,1.3352749150522816,201.5,202.51
2024-05-08T14:45:00Z,2024-05-08T14:45:00Z,long,203.61,202.83049383061373,202.83049383061373,1194,demand,202.88,203.41061489608612,touched,2,3,2024-05-08T14:30:00Z,203.59,203.72,203.4,203.62,0.9901233877254063,2024-05-08T14:30:00Z,0.04950616938627032,0.020004896516112338,1.0,1.487908038786253,202.73,203.38
2024-05-30T19:00:00Z,2024-05-30T19:00:00Z,short,204.32,204.82408291756417,204.82408291756417,1223,supply,204.45,204.78,verified,4,4,2024-05-30T18:45:00Z,204.35,204.45,204.25,204.32,0.88165835128331,2024-05-30T19:00:00Z,0.044082917564165505,,1.0,1.5275239926186577,204.76,204.32
2024-10-08T17:30:00Z,2024-10-08T17:30:00Z,short,217.64,218.56880126479498,218.56880126479498,1336,supply,217.81,218.51,touched,3,4,2024-10-08T17:15:00Z,217.66,217.81,217.36,217.64,1.1760252958996626,2024-10-08T17:00:00Z,0.058801264794983134,,1.0,1.3268589497071621,218.15,217.96
2024-12-06T14:45:00Z,2024-12-06T14:45:00Z,short,239.12,239.93776400493462,239.93776400493462,1395,supply,239.37,239.88,verified,3,3,2024-12-06T14:30:00Z,239.79,239.89,239.09,239.1,1.155280098692764,2024-12-05T21:00:00Z,0.05776400493463821,,1.0,1.64267451947969,239.02,238.03
2025-01-14T17:30:00Z,2025-01-14T17:30:00Z,short,217.56,218.68299857976083,218.68299857976083,1427,supply,217.85,218.6,verified,2,3,2025-01-14T17:15:00Z,217.6,217.92,217.3,217.56,1.6599715952165937,2025-01-14T17:00:00Z,0.0829985797608297,,1.0,1.4973314396811095,219.62,217.5
2025-01-17T20:00:00Z,2025-01-17T20:00:00Z,short,224.99,226.21273619564548,226.21273619564548,1430,supply,225.36644916343963,226.15,touched,4,4,2025-01-17T19:45:00Z,225.32,225.4,224.89,224.99,1.2547239129091987,2025-01-17T20:00:00Z,0.06273619564545994,,1.0,1.5605065282209596,225.46,224.99
2025-01-29T14:45:00Z,2025-01-29T14:45:00Z,short,226.47,227.23076692287705,227.23076692287705,1438,supply,226.7705591335407,227.17,verified,2,3,2025-01-29T14:30:00Z,226.58,227.04,226.38,226.47,1.2153384575410864,2025-01-28T21:00:00Z,0.06076692287705432,,1.0,1.9045795930211733,227.02,226.77
2025-02-06T15:45:00Z,2025-02-06T15:45:00Z,short,229.22,230.29166003855974,230.29166003855974,1453,supply,229.67,230.23,touched,2,2,2025-02-06T15:30:00Z,229.47,229.69,229.11,229.2,1.2332007711949582,2025-02-06T15:30:00Z,0.061660038559747915,,1.0,1.949392925999549,230.51,229.33
2025-02-11T19:30:00Z,2025-02-11T19:30:00Z,long,225.18,224.61810819694495,224.61810819694495,1449,demand,224.67,225.05,active,3,3,2025-02-11T19:15:00Z,225.09,225.29,225.01,225.18,1.0378360611011195,2025-02-11T19:00:00Z,0.051891803055055974,0.10526315789478408,1.0,1.4786626396184905,225.08,225.24
2025-06-04T14:00:00Z,2025-06-04T14:00:00Z,short,209.33,210.18575347819475,210.18575347819475,1553,supply,209.63354518041558,210.13,active,2,2,2025-06-04T13:45:00Z,209.59,209.82,209.12,209.35,1.1150695638950918,2025-06-03T20:00:00Z,0.0557534781947546,,1.0,1.683443175945749,209.28,209.05
2025-06-23T16:00:00Z,2025-06-23T16:00:00Z,short,209.05,210.06696574148353,210.06696574148353,1568,supply,209.43753581846303,210.01,verified,2,4,2025-06-23T15:45:00Z,209.38,209.44,209.03,209.05,1.1393148296707343,2025-06-23T16:00:00Z,0.05696574148353672,,1.0,1.7764705186500167,209.56,209.05
2025-07-25T13:45:00Z,2025-07-25T13:45:00Z,short,223.22,224.28148961063374,224.28148961063374,1603,supply,223.83561410151393,224.23,verified,2,3,2025-07-25T13:30:00Z,224.42,224.51,223.16,223.22,1.0297922126751464,2025-07-24T20:00:00Z,0.05148961063375732,,1.0,2.691499910895651,224.22,223.58
2025-11-04T14:45:00Z,2025-11-04T14:45:00Z,long,242.76,240.29127346082,240.29127346082,1690,demand,240.36,241.22,active,2,2,2025-11-04T14:30:00Z,241.8,242.9,241.01,242.78,1.374530783599989,2025-11-03T21:00:00Z,0.06872653917999945,0.24418604651164136,1.0,2.893868068813995,244.92,245.42
2025-11-24T15:15:00Z,2025-11-24T15:15:00Z,short,238.08,239.20794680785528,239.20794680785528,1722,supply,238.26,239.1,active,2,2,2025-11-24T15:00:00Z,238.15,238.44,237.46,238.05,2.158936157105569,2025-11-21T21:00:00Z,0.10794680785527846,,1.0,1.378508104589599,236.28,235.6
