decision_timestamp,entry_timestamp,side,entry_reference,jaw,stop_reference,zone_id,zone_side,zone_lower,zone_upper,zone_status,qualified_score,current_score,trigger_timestamp,trigger_open,trigger_high,trigger_low,trigger_close,one_hour_atr,one_hour_atr_timestamp,stop_buffer,long_zone_penetration_fraction,reward_to_risk
2021-05-21T15:15:00Z,2021-05-21T15:15:00Z,long,1.41692,1.4146363147865113,1.4146363147865113,953,demand,1.41473,1.415845,verified,2,3,2021-05-21T15:00:00Z,1.416255,1.416965,1.415755,1.41692,0.0018737042697751422,2021-05-21T15:00:00Z,9.368521348875712e-05,0.08071748878917069,1.0
2021-05-23T22:00:00Z,2021-05-23T22:00:00Z,long,1.4156,1.4139828459258132,1.4139828459258132,975,demand,1.414065,1.41468,active,3,3,2021-05-23T21:45:00Z,1.41524,1.41608,1.41459,1.4156,0.0016430814837314017,2021-05-21T21:00:00Z,8.21540741865701e-05,0.14634146341450205,1.0
2021-05-27T10:45:00Z,2021-05-27T10:45:00Z,short,1.41334,1.414216130534849,1.414216130534849,976,supply,1.41362,1.41414,rejected,4,4,2021-05-27T10:30:00Z,1.41356,1.413775,1.41316,1.41334,0.0015226106969810243,2021-05-27T10:00:00Z,7.613053484905122e-05,,1.0
2021-05-27T13:00:00Z,2021-05-27T13:00:00Z,short,1.415705,1.4173021270171515,1.4173021270171515,977,supply,1.41657,1.417205,touched,4,4,2021-05-27T12:45:00Z,1.416315,1.41682,1.415545,1.415705,0.0019425403430274435,2021-05-27T13:00:00Z,9.712701715137218e-05,,1.0
2021-05-31T07:30:00Z,2021-05-31T07:30:00Z,short,1.41805,1.4185910475058943,1.4185910475058943,979,supply,1.418125,1.41852,verified,3,3,2021-05-31T07:15:00Z,1.41811,1.41858,1.417715,1.41805,0.001420950117884195,2021-05-31T07:00:00Z,7.104750589420976e-05,,1.0
2021-06-07T02:15:00Z,2021-06-07T02:15:00Z,short,1.414175,1.4150515150273213,1.4150515150273213,1025,supply,1.414345,1.41498,verified,3,3,2021-06-07T02:00:00Z,1.414265,1.41445,1.41389,1.414175,0.0014303005464291721,2021-06-07T02:00:00Z,7.151502732145861e-05,,1.0
2021-06-08T07:15:00Z,2021-06-08T07:15:00Z,short,1.415335,1.4160035327249811,1.4160035327249811,1024,supply,1.41543,1.415945,verified,3,3,2021-06-08T07:00:00Z,1.415415,1.416535,1.415255,1.415335,0.001170654499624241,2021-06-08T07:00:00Z,5.8532724981212055e-05,,1.0
2021-06-10T12:00:00Z,2021-06-10T12:00:00Z,short,1.41015,1.4113000955283126,1.4113000955283126,1036,supply,1.41084,1.41123,verified,4,5,2021-06-10T11:45:00Z,1.410755,1.411035,1.409905,1.41015,0.0014019105662501693,2021-06-10T12:00:00Z,7.009552831250847e-05,,1.0
2021-06-16T11:15:00Z,2021-06-16T11:15:00Z,short,1.4113,1.4124497854356033,1.4124497854356033,1049,supply,1.41177,1.412385,active,3,3,2021-06-16T11:00:00Z,1.411685,1.411865,1.410985,1.4113,0.0012957087120661378,2021-06-16T11:00:00Z,6.47854356033069e-05,,1.0
2021-06-16T16:15:00Z,2021-06-16T16:15:00Z,long,1.411295,1.410326508393561,1.410326508393561,1064,demand,1.410395,1.410805,verified,3,3,2021-06-16T16:00:00Z,1.410875,1.41138,1.410775,1.411295,0.0013698321287803727,2021-06-16T16:00:00Z,6.849160643901864e-05,0.0731707317077926,1.0
