decision_timestamp,entry_timestamp,exit_timestamp,side,rrms_tier,quantity,entry_price,stop_price,target_price,exit_price,exit_reason,gross_pnl,costs,net_pnl,result_r,equity_after
2021-04-21T16:00:00Z,2021-04-21T16:00:00Z,2021-04-23T19:45:00Z,long,0,43,340.10400699999997,336.6896475045592,343.5183664954407,340.355961,weekend_close,10.834022000000516,0.43,10.404022000000516,0.07086365695325791,100010.404022
2021-07-06T16:00:00Z,2021-07-06T16:00:00Z,2021-07-09T14:00:00Z,short,0,39,344.535543,348.3528308453426,340.7182551546574,348.38766612842716,stop,-150.23280200865838,0.39,-150.62280200865837,-1.0117453241413887,99859.78121999135
2021-08-31T14:30:00Z,2021-08-31T14:30:00Z,2021-09-03T19:45:00Z,short,0,114,353.954601,355.2660228019149,352.64317919808514,354.195416,weekend_close,-27.452909999999747,1.1400000000000001,-28.592909999999748,-0.191254255216565,99831.18830999134
2021-10-14T14:30:00Z,2021-10-14T14:30:00Z,2021-10-15T19:45:00Z,long,0,21,348.044801,341.02570250981864,355.06389949018137,352.82471400000003,weekend_close,100.37817300000046,0.21,100.16817300000046,0.6795620558213273,99931.35648299134
2021-11-17T16:00:00Z,2021-11-17T16:00:00Z,2021-11-19T14:30:00Z,short,0,44,360.243972,363.60090309663946,356.8870409033605,356.92272960745083,target,146.1346652721627,0.44,145.6946652721627,0.9863897402791327,100077.0511482635
2022-01-06T15:30:00Z,2022-01-06T15:30:00Z,2022-01-07T20:45:00Z,short,0,21,362.60373599999997,369.6010506457306,355.60642135426934,362.346231,weekend_close,5.407604999999592,0.21,5.197604999999592,0.035371426401554544,100082.2487532635
2023-01-25T17:00:00Z,2023-01-25T17:00:00Z,2023-01-26T14:30:00Z,short,0,56,335.136483,337.8166216601834,332.4563443398166,337.8504033223494,stop,-151.97953805156612,0.56,-152.53953805156613,-1.0163355959213733,99929.70921521193
2023-02-06T15:30:00Z,2023-02-06T15:30:00Z,2023-02-07T20:45:00Z,short,0,31,336.99629699999997,341.76586892877197,332.226725071228,341.80004551566486,stop,-148.91620398561167,0.31,-149.22620398561168,-1.0092621701805997,99780.48301122632
2023-08-15T14:30:00Z,2023-08-15T14:30:00Z,2023-08-17T18:15:00Z,short,0,43,350.114985,353.57229483786057,346.6576751621394,346.69234092965564,target,147.17369502480693,0.43,146.74369502480693,0.9870807738933024,99927.22670625112
2024-01-03T15:30:00Z,2024-01-03T15:30:00Z,2024-01-05T20:45:00Z,short,0,48,374.792517,377.88979134005086,371.6952426599491,374.717468,weekend_close,3.602351999998973,0.48,3.122351999998973,0.021002014306201196,99930.34905825113
