decision_timestamp,entry_timestamp,exit_timestamp,side,rrms_tier,quantity,entry_price,stop_price,target_price,exit_price,exit_reason,gross_pnl,costs,net_pnl,result_r,equity_after
2021-03-18T16:00:00Z,2021-03-18T16:00:00Z,2021-03-18T16:00:00Z,short,0,349,162.173781,162.60262142341801,161.74494057658197,162.61888168556035,stop,-155.34013926056645,3.49,-158.83013926056645,-1.061235510246526,99841.16986073944
2021-03-22T15:45:00Z,2021-03-22T15:45:00Z,2021-03-22T16:45:00Z,short,1,1388,162.78372000000002,163.0353767055566,162.53206329444345,163.05168024322714,stop,-371.9288175992459,13.88,-385.8088175992459,-1.1045215052481065,99455.36104314019
2021-03-22T18:30:00Z,2021-03-22T18:30:00Z,2021-03-23T13:30:00Z,long,2,2214,163.12631100000002,162.811997768868,163.44062423113203,162.7957165690911,stop,-731.9360700323423,22.14,-754.0760700323423,-1.0836146785238563,98701.28497310785
2021-03-23T15:45:00Z,2021-03-23T15:45:00Z,2021-03-25T13:30:00Z,short,3,1346,161.843814,162.943413176662,160.744214823338,162.95970751797967,stop,-1501.9926752006186,13.46,-1515.4526752006186,-1.0239126600635344,97185.83229790723
